Asset ID,Asset title,Asset type,Location,Pagedip Handle,Time Stamp,Country,State,City,Client session ID,Device type,Media Title,Media Template,Event,Time on page when interaction happened,Tab-It name,Tab-It interaction,Tab label,Tab number,Length of time visible,Slider name,Slider interaction,Slide index,Slide direction,Overlay interaction,Overlay url,Time spent in overlay,Card deck title,Card title,Card interaction,Time spent in card,Bink label,Bink interaction,Time left open,Button Label,Button URL,Table of contents event,Table of contents item URL,Back/Next Direction,Back/Next to Page,Image src,Video time,Link Label,Link URL,External,Sales Contacts Link Label,Sales Contacts Link URL
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T17:19:47.957Z,India,Andhra Pradesh,Visakhapatnam,516f6fb0-4354-44f5-b9c4-bc67af7865c9,desktop,On Premise Adoption Tab-It,media-tab-it,tab-change,14261,On Premise Adoption Tab-It,tab-change,SCALABILITY,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T17:19:51.177Z,India,Andhra Pradesh,Visakhapatnam,516f6fb0-4354-44f5-b9c4-bc67af7865c9,desktop,On Premise Adoption Tab-It,media-tab-it,tab-change,17489,On Premise Adoption Tab-It,tab-change,ORCHESTRATION,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T18:06:36.048Z,United States,Georgia,Loganville,3b39436a-8869-4664-b0f4-596a434191bc,desktop,On Premise Adoption Tab-It,media-tab-it,tab-change,9210,On Premise Adoption Tab-It,tab-change,SECURITY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T18:06:49.112Z,United States,Georgia,Loganville,3b39436a-8869-4664-b0f4-596a434191bc,desktop,anchor,anchor,link-click,22357,,,,,,,,,,,,,,,,,,,,,,,,,,,,hpe.com/us/en/greenlake.html,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T19:00:18.254Z,United States,New York,The Bronx,9d13ff8e-614a-4fb1-8b34-cf12f3eda869,mobile phone,Main Content Box,anchor,link-click,18924,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPE GreenLake for VDI,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T20:37:59.164Z,United States,New Jersey,Marlboro,bf5793a6-2415-488a-bc56-91ed5980e34b,desktop,Main Content Box,anchor,link-click,39333,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPE GreenLake for VDI,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T20:38:26.015Z,United States,California,Santa Clara,004e2991-ff4f-4f3d-82ba-3534a93d430b,desktop,Desktop Types,media-tab-it,tab-change,6231227,Desktop Types,tab-change,Task Workers,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T20:40:38.635Z,United States,California,Santa Clara,a85a0c19-bb0f-4aa3-aa35-24c30d5a38c5,desktop,Desktop Virtualization Solutions,overlay,close,6469157,,,,,,,,,,close,desktop-virtualization-solutions,35939,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:02:18.635Z,United States,California,Santa Clara,30d3eb98-6fcc-4a61-91fe-ab604b5b69d2,desktop,Desktop Types,media-tab-it,tab-change,29583,Desktop Types,tab-change,Knowledge Workers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:10:05.529Z,United States,California,Santa Clara,30d3eb98-6fcc-4a61-91fe-ab604b5b69d2,desktop,Desktop Types,media-tab-it,tab-change,31117,Desktop Types,tab-change,Power Users,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:10:05.850Z,United States,California,Santa Clara,30d3eb98-6fcc-4a61-91fe-ab604b5b69d2,desktop,Desktop Types,media-tab-it,tab-change,32526,Desktop Types,tab-change,Engineering Professionals,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:14:44.197Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop,HPE GreenLake for VDI,overlay,close,775200,,,,,,,,,,close,hpe-greenlake-for-vdi,14749,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:15:34.901Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop,Main Content Box,anchor,link-click,21263,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPE GreenLake for VDI,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:15:35.120Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop,Main Content Box,anchor,link-click,25517,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPE GreenLake for VDI,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:15:47.004Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop,Desktop Virtualization Solutions,overlay,close,837931,,,,,,,,,,close,desktop-virtualization-solutions,59007,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:40:37.641Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,Desktop Types,media-tab-it,tab-change,97945,Desktop Types,tab-change,Knowledge Workers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
