Asset ID,Asset title,Asset type,Location,Pagedip Handle,Time Stamp,Country,State,City,Client session ID,Device type
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-02-02T22:09:55.502Z,United States,Texas,Austin,189ffc99-89c3-43e1-9e06-70bcad15cddf,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-02-02T22:10:08.568Z,United States,Massachusetts,Charlestown,9e95d9b8-beee-43c5-aa72-9e6b685903b0,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-02-02T22:11:26.747Z,United States,Massachusetts,Charlestown,9e95d9b8-beee-43c5-aa72-9e6b685903b0,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-02-02T23:24:12.587Z,United States,Florida,The Villages,051959c3-f23d-44ac-b54a-649f3c94feba,ebook reader
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-02-03T00:22:05.919Z,United States,Washington,Kirkland,98b46a0f-7481-4fd9-a2b5-a626dc58d841,desktop
a50002097enw,Four Essential Steps to Adopting IT-as-a-Service,Business Paper,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/,four-essential-steps-to-adopting-it-as-a-service,2022-02-03T01:19:11.995Z,United States,Hawaii,Kilauea,ac10b6b6-1d7b-41a5-b990-0d15b26f541a,desktop
a50002097enw,Four Essential Steps to Adopting IT-as-a-Service,Business Paper,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/itaas-adoption-strategy,four-essential-steps-to-adopting-it-as-a-service,2022-02-03T01:19:20.898Z,United States,Hawaii,Kilauea,ac10b6b6-1d7b-41a5-b990-0d15b26f541a,desktop
a50002097enw,Four Essential Steps to Adopting IT-as-a-Service,Business Paper,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/step-1,four-essential-steps-to-adopting-it-as-a-service,2022-02-03T01:20:21.479Z,United States,Hawaii,Kilauea,ac10b6b6-1d7b-41a5-b990-0d15b26f541a,desktop
a50002097enw,Four Essential Steps to Adopting IT-as-a-Service,Business Paper,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/step-2,four-essential-steps-to-adopting-it-as-a-service,2022-02-03T01:20:48.679Z,United States,Hawaii,Kilauea,ac10b6b6-1d7b-41a5-b990-0d15b26f541a,desktop
a00067350enw,"Give Your Business the Freedom to Move with Speed, Agility, and Efficiency",Infographic,https://greenlake.hpe.pagedip.com/give-your-business-the-freedom-to-move-with-speed-agility-and-efficiency/,give-your-business-the-freedom-to-move-with-speed-agility-and-efficiency,2022-02-03T05:12:15.782Z,Singapore,,Singapore,c4009049-3771-4746-b9a2-01c79940ab85,desktop
a00067350enw,"Give Your Business the Freedom to Move with Speed, Agility, and Efficiency",Infographic,https://greenlake.hpe.pagedip.com/give-your-business-the-freedom-to-move-with-speed-agility-and-efficiency/,give-your-business-the-freedom-to-move-with-speed-agility-and-efficiency,2022-02-03T05:46:47.247Z,United States,,,a722be18-cbe2-4c83-b663-cfe8b4a8b816,mobile phone
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-02-03T06:11:11.010Z,India,Karnataka,Bengaluru,f73d6366-c99a-4f4b-b198-9f19a16d2c54,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-02-03T06:12:55.431Z,India,Karnataka,Bengaluru,f73d6366-c99a-4f4b-b198-9f19a16d2c54,desktop
